 ,,,,,,,
,,,,,,,
Reading,Question,Answer,A,B,C,D,image
,"You want to ask how much this wallet costs (close to you), what do you say to the clerk?",このさいふはいくらですか,それさいふはいくらですか,これさいふはいくらですか,このさいふはいくらですか,そのさいふはいくらですか,
,"You want to tell your friend that the teacher over there is Mr. Yamashita, what do you say?",あのせんせいはやましたせんせいです。,あのせんせいはせんせいです。,そのせんせいはやましたせんせいです。,あのせんせいはやましたせんせいです。,このせんせいはやましたせんせいです。,
,"You find a pen in the classroom and want to ask whose pen it is, what do you say?",だれのぺんですか。,どのぺんですか。,だれはぺんですか。,だれがぺんですか。,だれのぺんですか。,
,"Your Japanese friend says she likes this book, but there are two books on the table. You want to ask her which book she is talking about, what do you say?",これはだれのほんですか。,これはだれのほんですか。,どのほんですか。,これはほんですか。,どこのほんですか。,
,Choose the correct translation for the following sentence: それはメアリーさんのじてんしゃです。,This is Mary's bicycle.,That is Mary's bicycle.,This is Mary's bicycle.,Over there is Mary's bicycle.,Which is Mary's bicycle?,
,Choose the correct translation for the following sentence: このとんかつはおいしです。,This tonkatsu is delicious.,This is tonkatsu.,This is delicious.,This tonkatsu is delicious.,That tonkatsu is delicious.,
,すみません。としょかんはどこですか。Choose the most appropriate response.,あそこです。,いいえ、としょかんです。,これです。,あそこです。,あそのです。,
,Choose the correct translation for the following sentence: ソラさんのだいがくはここです。,Sora's university is here.,Sora's university is here.,Sora's school is here.,Sora's university is over there.,Where is Sora's university?,
,だれのかさですか。Choose the most appropriate response (use the image as a hint).,それはわたしのかさです。,それはかさじゃないです。,それはソラさんのかばんです。,これはだれのかさです。,それはわたしのかさです。,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiNXR5HPiPewDvkiUnuSDNuo65M_25XIfs6_GkEmmc4x16-Zn6gLfq24cY0syH4vYojOfaAZ1KAawF9orhtFDvc9zaRZ8qUQovyyY4MEVUaW_wG5w5fR5QdOwqrMhfjRVsW4GfC88BBuOAB/s1600/rain_kasa_yellow.png
,Read the following and answer the questions at the end. メアリーさんはアメリカじんです。ロバートさんもアメリカじんです。ソラさんはかんこくじんです。キムさんはかんこくじんじゃないです。ナオミさんもかんこくじんです。Who is American?,Mary and Robert,Mary and Sora,Mary and Robert,Sora and Kim,Robert and Takashi,
,Who is Korean?,Sora and Naomi,Mary and Sora,Sora and Kim,Kim and Naomi,Sora and Naomi,
,"Look at the image, choose the most appropriate sentence.",ノートです。,ノートじゃないです。,ほんです。,じゃないです。,ノートです。,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2qHiADequrKGP1cPNMWIdPqfaWDNxpKMjXLdH0a5AuA_31gsyiUc4gf1YNF6cpQkjsE0S8zeaIf2DNHtr_lzKLsGmQvl0tyGgx8o1qPdTjoDrZVk4bScAfpY21bvhQXddHB7A4ZWb6vWo/s400/bunbougu_loseleaf.png
,"You are talking to your very confused friend and want to say that vegetables are not meat, choose the most appropriate sentence.",やさいはにくじゃないです。,やさいはにくです。,やさいはにくじゃないです。,やさいはにくではありません。,にくはやさいじゃないです。,
,やましたさんはべんごしじゃありません。Choose the correct translation.,Mr. Yamashita is not a lawyer. (conservative),"Mr. Yamashita is not a lawyer. (converstional, informal)",Mr. Yamashita is not a lawyer. (conservative),"Mr. Yamashita is not a lawyer. (formal, appropriate for writing",Mr. Yamashita is a lawyer right?,
,You want to tell a friend that this wallet is really expensive and you are really sure of statement. Choose the most appropriate sentence.,このさいふはたかいですよ。,このさいふはたかいですか。,このさいふはたかいですよ。,このさいふはたかいですね。,このさいふはたかいです。,
,You enter a restaurant and the waiter welcomes you and hands you a menu. What do they say to you?,いらっしゃいませ。メニューをどうぞ。,ありがとうございます。メニューをどうぞ。,いらっしゃいませ。メニューをどうも。,いらっしゃいませ。メニューをどうぞ。,いらっしゃいませ。メニューをください。,
,ここはコンビニじゃないですね。Choose the most correct translation,"This is not a convenience store, right?",This is not a convenience store.,This is a convenience store right?,"This is not a convenience store, right?",This is not a convience store. (With full confidence),
,Your host mother is asking what you want for food. Choose the most appropriate sentence.,にくをください,ゆうびんきょくですね。,やさいはおいしいです。,にくをください,あのにくはにひゃくえんです。,
,You want to request a store clerk for a smartphone. Choose the most appropriate sentence.,すみません。スマホをおねがいします。,すみません。スマホをおねがいします。,すみません。スマホですね。,すみません。このスマホはいくらですか。,すみません。スマホですか。,
,"Choose the correct translation for ""This is not Sora's telephone number, right?.""",これはそらさんのでんわばんごうじゃないですね。,これはそらさんのでんわばんごうじゃないです。,これはそらさんのでんわばんごうじゃないですね。,これはそらのでんわばんごうです。,これはそらのでんわばんごうですよ。,
